tx_name	Promoter	5'UTR	CDS	3'UTR	TTS	Intron	Exon	Transcript	chr	start	end	name	strand	gene_id	gene_name	gene_biotype
ENST00000545173.2	1	0	0	0	0	0	0	0	chr19	39109833	39126384	94807	+	ENSG00000178982.5	EIF3K	protein_coding
ENST00000339852.4	1	2	0	0	0	0	2	2	chr19	39687601	39692524	97236	+	ENSG00000188505.4	NCCRP1	protein_coding
ENST00000314471.6	1	2	1	0	1	2	3	5	chr19	39833108	39875566	97590	+	ENSG00000179134.10	SAMD4B	protein_coding
ENST00000597629.1	1	1	2	0	3	0	3	3	chr19	39897453	39900052	97905	+	ENSG00000128016.4	ZFP36	protein_coding
ENST00000396843.1	1	0	0	0	0	0	0	0	chr19	39930212	39932082	98808	+	ENSG00000213922.1	AC011500.1	protein_coding
ENST00000392006.3	1	5	0	0	0	1	5	6	chr19	41770236	41813281	105272	+	ENSG00000105323.12	HNRNPUL1	protein_coding
ENST00000378009.4	1	0	0	3	0	1	3	4	chr19	43857825	43867480	111075	+	ENSG00000204936.5	CD177	polymorphic_pseudogene
ENST00000358777.4	1	0	1	0	0	1	1	2	chr19	45174724	45187631	114606	+	ENSG00000186567.8	CEACAM19	protein_coding
ENST00000587331.1	1	0	2	0	0	0	2	2	chr19	45202421	45213986	114663	+	ENSG00000213892.6	CEACAM16	protein_coding
ENST00000589651.1	1	1	2	2	0	1	5	6	chr19	45312328	45323852	114834	+	ENSG00000187244.6	BCAM	protein_coding
ENST00000252483.5	1	0	7	0	0	12	7	19	chr19	45349783	45392485	114967	+	ENSG00000130202.5	PVRL2	protein_coding
ENST00000588750.1	1	6	0	0	0	0	6	6	chr19	45417504	45422599	115204	+	ENSG00000130208.5	APOC1	protein_coding
ENST00000221462.4	1	1	5	0	2	6	6	12	chr19	45596220	45650543	116332	+	ENSG00000104866.6	PPP1R37	protein_coding
ENST00000300843.4	1	4	3	0	0	2	7	9	chr19	45754550	45808541	116191	+	ENSG00000007047.10	MARK4	protein_coding
ENST00000221996.7	1	1	0	0	0	0	1	1	chr19	48325097	48346587	124630	+	ENSG00000105392.11	CRX	protein_coding
ENST00000323090.4	1	0	1	0	0	6	1	7	chr19	49078797	49102682	127176	+	ENSG00000088002.7	SULT2B1	protein_coding
ENST00000312865.6	1	3	5	0	0	1	8	9	chr19	50321546	50340236	135337	+	ENSG00000104973.10	MED25	protein_coding
ENST00000425202.1	1	0	7	0	1	1	7	8	chr19	51152702	51162562	139749	+	ENSG00000235034.2	C19orf81	protein_coding
ENST00000595962.1	1	0	0	0	0	0	0	0	chr19	52800430	52829175	145083	+	ENSG00000198464.9	ZNF480	protein_coding
ENST00000255613.3	1	6	2	1	0	1	9	10	chr19	55851221	55859488	157353	+	ENSG00000133247.9	SUV420H2	protein_coding
ENST00000539076.1	1	6	0	0	0	0	6	6	chr19	55851254	55856561	157448	+	ENSG00000267531.1	AC020922.1	protein_coding
ENST00000587252.1	1	0	0	0	0	3	0	3	chr19	56146825	56156988	158383	+	ENSG00000171425.5	ZNF581	protein_coding
ENST00000357330.2	1	0	0	0	0	0	0	0	chr19	56687389	56697144	159459	+	ENSG00000197487.4	GALP	protein_coding
ENST00000333201.9	1	0	0	0	0	0	0	0	chr19	56915701	56938733	160110	+	ENSG00000198440.5	ZNF583	protein_coding
ENST00000308031.5	1	0	0	1	0	0	1	1	chr19	57019212	57041590	160298	+	ENSG00000196263.3	ZNF471	protein_coding
ENST00000360338.3	1	1	0	0	0	0	1	1	chr19	57791853	57804937	161370	+	ENSG00000197714.4	ZNF460	protein_coding
ENST00000321545.4	1	1	0	0	0	1	1	2	chr19	57831877	57842144	161397	+	ENSG00000178229.7	ZNF543	protein_coding
ENST00000391705.3	1	0	0	0	0	0	0	0	chr19	57862675	57871266	161415	+	ENSG00000131845.10	ZNF304	protein_coding
ENST00000597850.1	1	0	0	0	0	0	0	0	chr19	58095510	58105145	162394	+	ENSG00000171649.7	ZIK1	protein_coding
ENST00000596677.1	1	0	0	0	0	0	0	0	chr19	58740831	58774845	164494	+	ENSG00000198131.9	ZNF544	protein_coding
ENST00000600029.1	1	0	0	0	0	1	0	1	chr19	58740831	58798173	164582	+	ENSG00000269545.1	CTD-3138B18.4	protein_coding
ENST00000269812.3	1	3	8	0	0	0	11	11	chr19	281040	291386	148	-	ENSG00000141934.5	PPAP2C	protein_coding
ENST00000292363.5	1	3	4	0	0	5	7	12	chr19	647526	663277	1018	-	ENSG00000070423.13	RNF126	protein_coding
ENST00000359894.2	1	12	36	0	0	0	48	48	chr19	812518	821952	1592	-	ENSG00000129951.14	LPPR3	protein_coding
ENST00000356663.3	1	2	80	0	0	4	82	86	chr19	1009647	1021117	2473	-	ENSG00000182087.8	TMEM259	protein_coding
ENST00000590083.1	1	12	11	1	0	3	24	27	chr19	1228286	1238026	4221	-	ENSG00000099625.8	C19orf26	protein_coding
ENST00000402693.4	1	0	6	1	0	2	7	9	chr19	1554668	1568057	6776	-	ENSG00000181588.15	MEX3D	protein_coding
ENST00000585937.1	1	1	0	0	0	3	1	4	chr19	1578338	1605444	6915	-	ENSG00000267059.2	UQCR11	protein_coding
ENST00000591899.3	1	1	0	0	0	0	1	1	chr19	1597171	1605480	6938	-	ENSG00000127540.7	UQCR11	protein_coding
ENST00000262965.5	1	18	42	1	1	18	61	79	chr19	1609293	1652604	6992	-	ENSG00000071564.10	TCF3	protein_coding
ENST00000531925.1	1	4	0	23	0	1	27	28	chr19	1782076	1812275	7406	-	ENSG00000130270.12	ATP8B3	protein_coding
ENST00000255608.4	1	4	7	1	0	6	12	18	chr19	1985447	2015719	8139	-	ENSG00000133243.4	BTBD2	protein_coding
ENST00000355272.6	1	0	4	1	0	6	5	11	chr19	2100993	2151540	8680	-	ENSG00000065000.11	AP3D1	protein_coding
ENST00000314531.4	1	0	0	0	0	1	0	1	chr19	2933216	2944931	10614	-	ENSG00000175691.8	ZNF77	protein_coding
ENST00000262961.4	1	1	1	1	1	3	3	6	chr19	3804022	3869026	13664	-	ENSG00000105278.6	ZFR2	protein_coding
ENST00000309311.6	1	2	3	0	0	0	5	5	chr19	3976054	3985467	14149	-	ENSG00000167658.11	EEF2	protein_coding
ENST00000535853.1	1	1	0	0	0	0	1	1	chr19	4041127	4043154	14259	-	ENSG00000205147.3	AC016586.1	protein_coding
ENST00000301286.3	1	0	2	2	0	2	4	6	chr19	4502204	4517716	16176	-	ENSG00000167676.3	PLIN4	protein_coding
ENST00000340578.6	1	0	3	0	0	6	3	9	chr19	5916150	5978151	20239	-	ENSG00000031823.10	RANBP3	protein_coding
ENST00000398148.3	1	3	8	0	0	0	11	11	chr19	6413359	6424805	21685	-	ENSG00000088247.11	KHSRP	protein_coding
ENST00000590867.1	1	0	2	1	0	0	3	3	chr19	6467221	6480300	22254	-	ENSG00000205744.5	DENND1C	protein_coding
ENST00000341500.5	1	0	1	0	0	7	1	8	chr19	7112266	7293942	24294	-	ENSG00000171105.9	INSR	protein_coding
ENST00000270328.4	1	0	7	1	0	2	8	10	chr19	8645126	8673183	29563	-	ENSG00000142303.9	ADAMTS10	protein_coding
ENST00000586602.1	1	0	0	0	0	0	0	0	chr19	9676404	9695173	31605	-	ENSG00000197961.7	ZNF121	protein_coding
ENST00000448622.1	1	0	0	0	0	0	0	0	chr19	9759363	9785776	31966	-	ENSG00000171466.5	ZNF562	protein_coding
ENST00000397902.2	1	2	0	0	0	0	2	2	chr19	9868151	9879293	32241	-	ENSG00000196605.3	ZNF846	protein_coding
ENST00000589626.1	1	1	0	0	0	0	1	1	chr19	9920943	9929755	32349	-	ENSG00000127452.4	FBXL12	protein_coding
ENST00000214869.2	1	0	1	0	0	0	1	1	chr19	10943114	10946966	37826	-	ENSG00000099203.2	TMED1	protein_coding
ENST00000393337.3	1	1	0	0	0	0	1	1	chr19	12358458	12405609	43630	-	ENSG00000197857.9	ZNF44	protein_coding
ENST00000264827.5	1	1	1	0	0	1	2	3	chr19	12873818	12886434	45871	-	ENSG00000095066.7	HOOK2	protein_coding
ENST00000254325.4	1	1	15	3	0	8	19	27	chr19	14072350	14117097	49761	-	ENSG00000132005.4	RFX1	protein_coding
ENST00000315576.3	1	0	0	0	0	1	0	1	chr19	14843205	14889349	52350	-	ENSG00000127507.13	EMR2	protein_coding
ENST00000263377.2	1	0	6	1	0	5	7	12	chr19	15347647	15391262	53794	-	ENSG00000141867.13	BRD4	protein_coding
ENST00000594594.2	1	2	0	2	0	1	4	5	chr19	15490861	15529932	54174	-	ENSG00000011243.13	AKAP8L	protein_coding
ENST00000600705.1	1	0	1	0	0	11	1	12	chr19	16688557	16770926	57444	-	ENSG00000268790.1	CTC-429P9.4	protein_coding
ENST00000487416.2	1	0	1	0	0	0	1	1	chr19	16755556	16770968	57573	-	ENSG00000214046.4	SMIM7	protein_coding
ENST00000443236.1	1	1	14	0	0	4	15	19	chr19	17003758	17137625	58333	-	ENSG00000160111.8	CPAMD8	protein_coding
ENST00000252590.4	1	0	0	1	0	2	1	3	chr19	17462257	17488159	60687	-	ENSG00000130300.4	PLVAP	protein_coding
ENST00000252818.3	1	4	3	1	0	0	8	8	chr19	18390563	18392432	65016	-	ENSG00000130522.4	JUND	protein_coding
ENST00000338128.8	1	8	20	0	0	0	28	28	chr19	18545198	18549111	65563	-	ENSG00000105655.14	ISYNA1	protein_coding
ENST00000323670.9	1	2	0	1	0	1	3	4	chr19	30191721	30206161	75212	-	ENSG00000131943.13	C19orf12	protein_coding
ENST00000301175.3	1	0	0	0	0	0	0	0	chr19	36290892	36304201	85564	-	ENSG00000250799.5	PRODH2	protein_coding
ENST00000378910.5	1	0	9	0	0	0	9	9	chr19	36316866	36342739	85605	-	ENSG00000161270.15	NPHS1	protein_coding
ENST00000396901.1	1	7	1	0	0	0	8	8	chr19	36379143	36391552	86153	-	ENSG00000167604.9	NFKBID	protein_coding
ENST00000585901.2	1	0	1	0	0	0	1	1	chr19	36395305	36399149	86356	-	ENSG00000011600.7	TYROBP	protein_coding
ENST00000355114.5	1	0	0	0	0	1	0	1	chr19	36673196	36737159	87804	-	ENSG00000196357.7	ZNF565	protein_coding
