chrPeak	startPeak	endPeak	idPeak	scorePeak	strandPeak	chrfeature	startfeature	endfeature	widthfeature	strandfeature	tx_name	feature_name
chr19	924587	926412	ZNF281_ChIPseq_peak_35171d	1	*	chr19	925999	926059	60	+	ENST00000263620.3	5'UTR
chr19	929390	929594	ZNF281_ChIPseq_peak_35173	1	*	chr19	929261	929528	267	+	ENST00000263620.3	5'UTR
chr19	984164	984834	ZNF281_ChIPseq_peak_35194a	1	*	chr19	984330	984353	23	+	ENST00000251289.5	5'UTR
chr19	984164	984834	ZNF281_ChIPseq_peak_35194b	1	*	chr19	984330	984353	23	+	ENST00000251289.5	5'UTR
chr19	984164	984834	ZNF281_ChIPseq_peak_35194c	1	*	chr19	984330	984353	23	+	ENST00000251289.5	5'UTR
chr19	1000166	1000858	ZNF281_ChIPseq_peak_35203a	1	*	chr19	1000417	1000436	19	+	ENST00000234389.3	5'UTR
chr19	1000166	1000858	ZNF281_ChIPseq_peak_35203b	1	*	chr19	1000417	1000436	19	+	ENST00000234389.3	5'UTR
chr19	1020594	1021318	ZNF281_ChIPseq_peak_35212a	1	*	chr19	1020995	1021117	122	-	ENST00000356663.3	5'UTR
chr19	1020594	1021318	ZNF281_ChIPseq_peak_35212b	1	*	chr19	1020995	1021117	122	-	ENST00000356663.3	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214a	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214b	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214c	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214d	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214e	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1026111	1028978	ZNF281_ChIPseq_peak_35214f	1	*	chr19	1026297	1026660	363	+	ENST00000263097.4	5'UTR
chr19	1040007	1040239	ZNF281_ChIPseq_peak_35218	1	*	chr19	1040101	1040195	94	+	ENST00000263094.6	5'UTR
chr19	1041134	1041863	ZNF281_ChIPseq_peak_35220a	1	*	chr19	1041223	1041360	137	+	ENST00000263094.6	5'UTR
chr19	1041134	1041863	ZNF281_ChIPseq_peak_35220b	1	*	chr19	1041223	1041360	137	+	ENST00000263094.6	5'UTR
chr19	1066720	1067824	ZNF281_ChIPseq_peak_35234a	1	*	chr19	1067173	1067404	231	+	ENST00000313093.2	5'UTR
chr19	1066720	1067824	ZNF281_ChIPseq_peak_35234b	1	*	chr19	1067173	1067404	231	+	ENST00000313093.2	5'UTR
chr19	1094987	1095457	ZNF281_ChIPseq_peak_35243a	1	*	chr19	1095314	1095598	284	-	ENST00000215587.7	5'UTR
chr19	1094987	1095457	ZNF281_ChIPseq_peak_35243b	1	*	chr19	1095314	1095598	284	-	ENST00000215587.7	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245a	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245b	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245c	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245d	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245e	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245f	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1103951	1106434	ZNF281_ChIPseq_peak_35245g	1	*	chr19	1103935	1104042	107	+	ENST00000354171.8	5'UTR
chr19	1154005	1154382	ZNF281_ChIPseq_peak_35263	1	*	chr19	1154275	1154401	126	-	ENST00000361757.3	5'UTR
chr19	1173055	1174610	ZNF281_ChIPseq_peak_35272a	1	*	chr19	1174170	1174282	112	-	ENST00000361757.3	5'UTR
chr19	1173055	1174610	ZNF281_ChIPseq_peak_35272b	1	*	chr19	1174170	1174282	112	-	ENST00000361757.3	5'UTR
chr19	1173055	1174610	ZNF281_ChIPseq_peak_35272c	1	*	chr19	1174170	1174282	112	-	ENST00000361757.3	5'UTR
chr19	1173055	1174610	ZNF281_ChIPseq_peak_35272d	1	*	chr19	1174170	1174282	112	-	ENST00000361757.3	5'UTR
chr19	1173055	1174610	ZNF281_ChIPseq_peak_35272e	1	*	chr19	1174170	1174282	112	-	ENST00000361757.3	5'UTR
chr19	1205189	1206454	ZNF281_ChIPseq_peak_35279a	1	*	chr19	1205739	1206912	1173	+	ENST00000326873.7	5'UTR
chr19	1205189	1206454	ZNF281_ChIPseq_peak_35279b	1	*	chr19	1205739	1206912	1173	+	ENST00000326873.7	5'UTR
chr19	1205189	1206454	ZNF281_ChIPseq_peak_35279c	1	*	chr19	1205739	1206912	1173	+	ENST00000326873.7	5'UTR
chr19	1206904	1207531	ZNF281_ChIPseq_peak_35280a	1	*	chr19	1205739	1206912	1173	+	ENST00000326873.7	5'UTR
chr19	1206904	1207531	ZNF281_ChIPseq_peak_35280b	1	*	chr19	1205739	1206912	1173	+	ENST00000326873.7	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296a	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296a	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296b	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296b	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296c	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296c	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296d	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296d	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296e	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296e	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296f	1	*	chr19	1236099	1236120	21	-	ENST00000590083.1	5'UTR
chr19	1235900	1238697	ZNF281_ChIPseq_peak_35296f	1	*	chr19	1237754	1238026	272	-	ENST00000590083.1	5'UTR
chr19	1241559	1242269	ZNF281_ChIPseq_peak_35298a	1	*	chr19	1241748	1241849	101	+	ENST00000215375.2	5'UTR
chr19	1241559	1242269	ZNF281_ChIPseq_peak_35298b	1	*	chr19	1241748	1241849	101	+	ENST00000215375.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303a	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303a	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303b	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303b	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303c	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303c	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303d	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303d	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303e	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303e	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303f	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303f	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303g	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303g	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303h	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303h	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303i	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303i	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303j	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303j	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303k	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303k	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303l	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303l	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303m	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303m	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303n	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303n	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303o	1	*	chr19	1248551	1248659	108	+	ENST00000300952.2	5'UTR
chr19	1248019	1254312	ZNF281_ChIPseq_peak_35303o	1	*	chr19	1249888	1250295	407	+	ENST00000300952.2	5'UTR
chr19	1269001	1269821	ZNF281_ChIPseq_peak_35311a	1	*	chr19	1269331	1269409	78	+	ENST00000590347.1	5'UTR
chr19	1269001	1269821	ZNF281_ChIPseq_peak_35311b	1	*	chr19	1269331	1269409	78	+	ENST00000590347.1	5'UTR
chr19	1269001	1269821	ZNF281_ChIPseq_peak_35311c	1	*	chr19	1269331	1269409	78	+	ENST00000590347.1	5'UTR
chr19	1274403	1275781	ZNF281_ChIPseq_peak_35314a	1	*	chr19	1275025	1275548	523	+	ENST00000409293.4	5'UTR
chr19	1274403	1275781	ZNF281_ChIPseq_peak_35314b	1	*	chr19	1275025	1275548	523	+	ENST00000409293.4	5'UTR
chr19	1274403	1275781	ZNF281_ChIPseq_peak_35314c	1	*	chr19	1275025	1275548	523	+	ENST00000409293.4	5'UTR
chr19	1285274	1286297	ZNF281_ChIPseq_peak_35321a	1	*	chr19	1286152	1286167	15	+	ENST00000215368.2	5'UTR
chr19	1285274	1286297	ZNF281_ChIPseq_peak_35321b	1	*	chr19	1286152	1286167	15	+	ENST00000215368.2	5'UTR
chr19	1285274	1286297	ZNF281_ChIPseq_peak_35321c	1	*	chr19	1286152	1286167	15	+	ENST00000215368.2	5'UTR
chr19	1383369	1384057	ZNF281_ChIPseq_peak_35343a	1	*	chr19	1383902	1383925	23	+	ENST00000313408.7	5'UTR
chr19	1383369	1384057	ZNF281_ChIPseq_peak_35343b	1	*	chr19	1383902	1383925	23	+	ENST00000313408.7	5'UTR
chr19	1401100	1401804	ZNF281_ChIPseq_peak_35351a	1	*	chr19	1401475	1401569	94	-	ENST00000447102.3	5'UTR
chr19	1401100	1401804	ZNF281_ChIPseq_peak_35351b	1	*	chr19	1401475	1401569	94	-	ENST00000447102.3	5'UTR
chr19	1407104	1407896	ZNF281_ChIPseq_peak_35354a	1	*	chr19	1407567	1407772	205	+	ENST00000336761.6	5'UTR
chr19	1407104	1407896	ZNF281_ChIPseq_peak_35354b	1	*	chr19	1407567	1407772	205	+	ENST00000336761.6	5'UTR
chr19	1407104	1407896	ZNF281_ChIPseq_peak_35354c	1	*	chr19	1407567	1407772	205	+	ENST00000336761.6	5'UTR
chr19	1438214	1438988	ZNF281_ChIPseq_peak_35367a	1	*	chr19	1438399	1438424	25	+	ENST00000592623.1	5'UTR
chr19	1438214	1438988	ZNF281_ChIPseq_peak_35367b	1	*	chr19	1438399	1438424	25	+	ENST00000592623.1	5'UTR
chr19	1452254	1452399	ZNF281_ChIPseq_peak_35374	1	*	chr19	1451287	1453000	1713	+	ENST00000535453.1	5'UTR
chr19	1478943	1479718	ZNF281_ChIPseq_peak_35383	1	*	chr19	1479161	1479555	394	-	ENST00000436106.2	5'UTR
chr19	1490176	1490516	ZNF281_ChIPseq_peak_35387	1	*	chr19	1490345	1490407	62	-	ENST00000300954.5	5'UTR
chr19	1490948	1491918	ZNF281_ChIPseq_peak_35388a	1	*	chr19	1491164	1491268	104	+	ENST00000233596.3	5'UTR
chr19	1490948	1491918	ZNF281_ChIPseq_peak_35388b	1	*	chr19	1491164	1491268	104	+	ENST00000233596.3	5'UTR
chr19	1490948	1491918	ZNF281_ChIPseq_peak_35388c	1	*	chr19	1491164	1491268	104	+	ENST00000233596.3	5'UTR
chr19	1490948	1491918	ZNF281_ChIPseq_peak_35388d	1	*	chr19	1491164	1491268	104	+	ENST00000233596.3	5'UTR
chr19	1512721	1514342	ZNF281_ChIPseq_peak_35401a	1	*	chr19	1512961	1513188	227	-	ENST00000330475.4	5'UTR
chr19	1512721	1514342	ZNF281_ChIPseq_peak_35401b	1	*	chr19	1512961	1513188	227	-	ENST00000330475.4	5'UTR
chr19	1512721	1514342	ZNF281_ChIPseq_peak_35401c	1	*	chr19	1512961	1513188	227	-	ENST00000330475.4	5'UTR
chr19	1512721	1514342	ZNF281_ChIPseq_peak_35401d	1	*	chr19	1512961	1513188	227	-	ENST00000330475.4	5'UTR
chr19	1526973	1527317	ZNF281_ChIPseq_peak_35405	1	*	chr19	1526901	1526995	94	+	ENST00000334770.4	5'UTR
chr19	1605420	1605674	ZNF281_ChIPseq_peak_35417	1	*	chr19	1605408	1605480	72	-	ENST00000591899.3	5'UTR
chr19	1605420	1605674	ZNF281_ChIPseq_peak_35417	1	*	chr19	1605408	1605444	36	-	ENST00000585937.1	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436a	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436a	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436b	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436b	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436c	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436c	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436d	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436d	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436e	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436e	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436f	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436f	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436g	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436g	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436h	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436h	1	*	chr19	1652298	1652604	306	-	ENST00000262965.5	5'UTR
chr19	1649965	1653351	ZNF281_ChIPseq_peak_35436i	1	*	chr19	1650247	1650286	39	-	ENST00000262965.5	5'UTR
